attrib_name	TCGA.2J.AAB1	TCGA.2J.AAB4	TCGA.2J.AAB6	TCGA.2J.AAB8	TCGA.2J.AAB9	TCGA.2J.AABA	TCGA.2J.AABE	TCGA.2J.AABF	TCGA.2J.AABH	TCGA.2J.AABI	TCGA.2J.AABK	TCGA.2J.AABO	TCGA.2J.AABP	TCGA.2J.AABR	TCGA.2J.AABT	TCGA.2J.AABU	TCGA.2J.AABV	TCGA.2L.AAQA	TCGA.2L.AAQE	TCGA.2L.AAQI	TCGA.2L.AAQJ	TCGA.2L.AAQL	TCGA.2L.AAQM	TCGA.3A.A9I5	TCGA.3A.A9I7	TCGA.3A.A9I9	TCGA.3A.A9IB	TCGA.3A.A9IC	TCGA.3A.A9IH	TCGA.3A.A9IJ	TCGA.3A.A9IL	TCGA.3A.A9IN	TCGA.3A.A9IO	TCGA.3A.A9IR	TCGA.3A.A9IS	TCGA.3A.A9IU	TCGA.3A.A9IV	TCGA.3A.A9IX	TCGA.3A.A9IZ	TCGA.3A.A9J0	TCGA.3E.AAAY	TCGA.3E.AAAZ	TCGA.F2.6879	TCGA.F2.6880	TCGA.F2.7273	TCGA.F2.7276	TCGA.F2.A44G	TCGA.F2.A44H	TCGA.F2.A7TX	TCGA.F2.A8YN	TCGA.FB.A4P5	TCGA.FB.A4P6	TCGA.FB.A545	TCGA.FB.A5VM	TCGA.FB.A78T	TCGA.FB.A7DR	TCGA.FB.AAPP	TCGA.FB.AAPQ	TCGA.FB.AAPS	TCGA.FB.AAPU	TCGA.FB.AAPY	TCGA.FB.AAPZ	TCGA.FB.AAQ0	TCGA.FB.AAQ1	TCGA.FB.AAQ2	TCGA.FB.AAQ3	TCGA.FB.AAQ6	TCGA.H6.8124	TCGA.H6.A45N	TCGA.H8.A6C1	TCGA.HV.A5A3	TCGA.HV.A5A4	TCGA.HV.A5A5	TCGA.HV.A5A6	TCGA.HV.A7OL	TCGA.HV.A7OP	TCGA.HV.AA8V	TCGA.HV.AA8X	TCGA.HZ.7289	TCGA.HZ.7918	TCGA.HZ.7919	TCGA.HZ.7920	TCGA.HZ.7922	TCGA.HZ.7923	TCGA.HZ.7924	TCGA.HZ.7925	TCGA.HZ.7926	TCGA.HZ.8001	TCGA.HZ.8002	TCGA.HZ.8003	TCGA.HZ.8005	TCGA.HZ.8315	TCGA.HZ.8317	TCGA.HZ.8519	TCGA.HZ.8636	TCGA.HZ.8637	TCGA.HZ.8638	TCGA.HZ.A49G	TCGA.HZ.A49H	TCGA.HZ.A49I	TCGA.HZ.A4BH	TCGA.HZ.A4BK	TCGA.HZ.A77O	TCGA.HZ.A77P	TCGA.HZ.A77Q	TCGA.HZ.A8P0	TCGA.HZ.A8P1	TCGA.HZ.A9TJ	TCGA.IB.7644	TCGA.IB.7645	TCGA.IB.7646	TCGA.IB.7647	TCGA.IB.7649	TCGA.IB.7651	TCGA.IB.7652	TCGA.IB.7654	TCGA.IB.7885	TCGA.IB.7886	TCGA.IB.7887	TCGA.IB.7888	TCGA.IB.7889	TCGA.IB.7890	TCGA.IB.7891	TCGA.IB.7893	TCGA.IB.7897	TCGA.IB.8126	TCGA.IB.8127	TCGA.IB.A5SO	TCGA.IB.A5SP	TCGA.IB.A5SQ	TCGA.IB.A5SS	TCGA.IB.A5ST	TCGA.IB.A6UF	TCGA.IB.A6UG	TCGA.IB.A7LX	TCGA.IB.A7M4	TCGA.IB.AAUM	TCGA.IB.AAUN	TCGA.IB.AAUO	TCGA.IB.AAUP	TCGA.IB.AAUQ	TCGA.IB.AAUR	TCGA.IB.AAUS	TCGA.IB.AAUT	TCGA.IB.AAUU	TCGA.IB.AAUV	TCGA.IB.AAUW	TCGA.L1.A7W4	TCGA.LB.A7SX	TCGA.LB.A8F3	TCGA.LB.A9Q5	TCGA.M8.A5N4	TCGA.OE.A75W	TCGA.PZ.A5RE	TCGA.Q3.A5QY	TCGA.Q3.AA2A	TCGA.RB.A7B8	TCGA.RB.AA9M	TCGA.RL.AAAS	TCGA.S4.A8RM	TCGA.S4.A8RO	TCGA.S4.A8RP	TCGA.US.A774	TCGA.US.A776	TCGA.US.A779	TCGA.US.A77E	TCGA.US.A77G	TCGA.US.A77J	TCGA.XD.AAUG	TCGA.XD.AAUH	TCGA.XD.AAUI	TCGA.XD.AAUL	TCGA.XN.A8T3	TCGA.XN.A8T5	TCGA.YB.A89D	TCGA.YH.A8SY	TCGA.YY.A8LH	TCGA.Z5.AAPL
hsa-let-7a-1	12.9513	12.9507	12.5438	12.3624	11.9693	11.7151	12.3441	12.6509	12.4434	12.8657	12.41	12.3331	12.2878	12.1824	11.6308	12.9768	12.2331	12.9239	12.8751	12.8608	12.8697	12.6576	12.6849	12.7578	12.6933	12.8951	12.2549	13.0592	12.6484	12.4855	11.9487	12.7225	12.3124	12.636	13.0442	13.1391	12.0444	12.278	12.7014	12.1171	12.9688	12.9696	13.633	12.3885	12.9005	13.5225	11.4845	11.5872	12.8703	13.379	12.5628	12.6733	12.3599	13.443	13.7331	12.6333	12.5409	12.0182	12.9061	12.441	12.2473	12.4507	12.4765	11.8406	12.5549	12.0434	12.3066	13.3432	12.2647	13.6159	12.5437	12.2327	12.3639	12.0191	12.9278	14.1171	11.9126	13.0079	12.5162	12.5503	13.1377	13.3258	12.8386	13.4447	12.9088	12.6864	13.4574	12.9427	13.1489	12.4804	12.352	12.9901	12.4989	12.6022	12.9978	12.6746	12.3943	12.0929	12.1598	12.7036	12.3738	11.8972	14.2578	13.3686	12.6949	12.9318	13.036	12.4358	13.1743	12.6656	12.5643	12.7475	12.7623	12.9685	13.2639	13.1065	12.8679	13.07	13.2102	13.1167	12.5666	13.3916	13.2015	13.3931	13.2716	12.5429	13.194	13.4443	13.0107	12.6651	13.5896	13.5595	14.0791	13.4903	13.6655	13.3058	13.4056	13.0825	13.0638	12.9005	12.6397	13.4826	12.9434	12.784	12.7222	12.9492	13.9511	13.0544	13.9866	13.1021	12.3016	11.7844	13.2421	12.6813	13.3044	12.421	13.3384	13.6298	13.3656	13.5695	13.2606	12.9073	13.1434	13.1834	13.8945	12.7389	13.7219	13.6548	12.469	12.8932	12.7974	12.6673	12.8639	12.9457	13.9	13.4219	13.4922	12.5904
hsa-let-7a-2	13.9512	13.9611	13.53	13.3525	12.9674	12.7074	13.3381	13.6206	13.4584	13.8557	13.4009	13.3273	13.2993	13.1686	12.6386	13.9749	13.2131	13.9207	13.8587	13.847	13.8669	13.6591	13.6684	13.7536	13.7104	13.8856	13.2549	14.0761	13.6487	13.4726	12.9366	13.7134	13.3156	13.6397	14.028	14.1475	13.0424	13.2707	13.709	13.1083	13.9655	13.9657	14.6389	13.3813	13.9007	14.5242	12.5002	12.5541	13.8529	14.3653	13.5567	13.6721	13.3497	14.4403	14.733	13.6291	13.525	13.0038	13.9046	13.4309	13.2217	13.4592	13.4825	12.8129	13.5515	13.0425	13.297	14.3474	13.2609	14.6147	13.5326	13.2393	13.366	13.0003	13.927	15.1179	12.905	13.9929	13.5283	13.5546	14.1498	14.3156	13.8456	14.438	13.9262	13.6915	14.4542	13.9394	14.1564	13.4654	13.356	13.9952	13.4991	13.5957	13.9845	13.669	13.3994	13.0923	13.1354	13.682	13.3497	12.888	15.2582	14.3676	13.7006	13.9345	14.0126	13.4315	14.1709	13.6541	13.5715	13.7586	13.7657	13.9887	14.2715	14.0933	13.8795	14.0685	14.2067	14.1366	13.577	14.3906	14.2157	14.3931	14.2559	13.5513	14.199	14.4438	14.02	13.6712	14.5776	14.5615	15.0813	14.4863	14.6666	14.2931	14.4076	14.0898	14.0493	13.8954	13.6261	14.4751	13.9474	13.7793	13.7249	13.9417	14.9475	14.0297	14.9766	14.1035	13.2942	12.7735	14.2551	13.6809	14.2989	13.4246	14.3282	14.6264	14.3621	14.5677	14.2414	13.9055	14.1262	14.1733	14.8965	13.7238	14.7186	14.649	13.4629	13.8855	13.7957	13.6559	13.8509	13.9392	14.9038	14.4338	14.4894	13.5765
hsa-let-7a-3	12.9596	12.9794	12.5605	12.3816	11.9887	11.7202	12.3467	12.6428	12.4425	12.8809	12.4011	12.3514	12.3114	12.1912	11.626	12.9897	12.2125	12.9329	12.8691	12.8445	12.8764	12.6767	12.6828	12.759	12.7147	12.8994	12.2713	13.0855	12.6622	12.4967	11.9595	12.7295	12.3356	12.6771	13.038	13.1477	12.0653	12.2815	12.7162	12.1197	12.9789	12.9688	13.6318	12.387	12.8997	13.5344	11.5026	11.586	12.878	13.3675	12.5601	12.6806	12.3848	13.4588	13.7439	12.6279	12.537	12.0162	12.9188	12.4411	12.2471	12.4645	12.4947	11.8576	12.567	12.0449	12.2919	13.3544	12.2891	13.6256	12.5359	12.2595	12.3838	12.0116	12.9279	14.1258	11.9127	13.0046	12.5253	12.5466	13.1349	13.3391	12.8549	13.4579	12.9159	12.7009	13.4604	12.9543	13.166	12.4608	12.3548	13.0029	12.505	12.6076	13.0027	12.6688	12.4006	12.1082	12.1787	12.7081	12.3694	11.9107	14.2661	13.3716	12.7021	12.9432	13.0153	12.4348	13.1783	12.6527	12.5596	12.7763	12.7885	12.9857	13.2907	13.0993	12.8812	13.0714	13.2143	13.1272	12.5866	13.4039	13.2225	13.4009	13.2777	12.5546	13.2008	13.4465	13.0383	12.6708	13.584	13.5674	14.0817	13.4916	13.6714	13.3071	13.4033	13.0991	13.0662	12.8964	12.6396	13.4902	12.9481	12.7987	12.7407	12.9563	13.9677	13.0511	13.9768	13.1018	12.3122	11.7879	13.2571	12.6843	13.3046	12.4323	13.3381	13.6376	13.3714	13.5781	13.2567	12.9221	13.143	13.175	13.906	12.7468	13.7199	13.6547	12.4764	12.8972	12.8092	12.6679	12.8736	12.9615	13.9116	13.4484	13.49	12.5855
hsa-let-7b	14.6645	14.4288	14.5069	14.064	13.6379	13.3818	13.8243	14.13	13.5488	14.3293	14.3114	13.7349	14.0975	13.475	12.7003	14.9508	14.4028	13.8125	14.2976	14.3366	14.0095	13.959	12.0633	13.8244	13.5637	14.1919	13.4819	14.5843	14.3992	11.7403	11.8835	13.5378	12.8368	13.7601	13.6206	14.0487	12.2477	14.0396	14.8685	14.306	14.7214	13.7074	15.094	14.7006	14.548	14.3751	13.2678	13.2316	14.1533	14.4516	14.2371	14.1599	14.3985	13.9367	13.75	13.2601	13.8961	14.3768	14.2001	13.7106	13.9869	13.6131	14.2223	13.4868	14.3985	13.9409	13.97	15.1321	13.8051	14.3007	14.5563	14.0008	13.5993	14.2736	14.2353	13.8158	14.029	14.0591	13.9454	14.5606	14.5254	14.4084	15.0843	14.5864	14.0594	14.7273	14.9036	14.2349	14.473	14.4778	13.9518	14.7013	14.4844	13.7877	14.6824	13.9344	13.9527	14.1438	14.1221	15.0275	14.2296	13.4824	15.1388	13.4772	13.5229	14.6333	13.6157	14.2508	14.8552	14.4942	13.7387	14.0464	14.2491	14.3241	15.3978	14.579	14.5091	14.9986	14.4058	14.7854	14.4639	15.1823	15.0553	14.9605	14.5614	14.6509	14.9489	14.2946	13.7185	13.7172	14.6806	13.9931	14.6975	14.3197	14.4873	13.6705	14.573	14.6211	14.2846	13.8052	14.744	14.2019	13.9066	14.0194	13.9933	14.2514	14.6562	12.943	15.0136	14.2195	14.0802	13.7382	14.1542	13.8587	14.1448	13.9895	14.6115	14.4107	13.9678	13.8886	13.975	13.3372	13.9395	13.7995	14.4439	13.5188	14.4311	13.9231	14.2237	14.4008	14.3979	13.9121	13.9261	13.6531	14.0733	14.7333	14.1427	14.071
hsa-let-7c	11.8032	11.7096	10.3063	10.4117	10.4244	11.1518	10.2003	11.118	10.2921	9.865	11.3934	11.5255	10.5583	10.5744	10.8432	9.9927	10.1829	10.9544	11.9643	11.441	11.2952	11.5669	8.8736	10.3922	10.008	10.82	10.552	10.8959	11.3263	10.3239	9.0471	11.4846	9.2963	9.1109	8.9217	9.9923	9.4012	11.2377	9.194	10.0615	12.2296	11.3095	11.4232	9.8667	12.1897	12.185	9.3707	10.0487	10.7888	11.0852	11.4017	11.4902	9.6427	12.0097	10.6996	10.9077	9.2242	11.0949	11.2882	11.671	11.0037	9.0261	10.9884	9.9198	10.7996	11.0697	10.5705	10.7362	11.6428	11.3703	9.7215	11.4398	10.9128	9.7954	10.3329	9.1747	10.5807	11.3147	8.9082	11.1781	11.8653	12.4452	11.5423	12.4619	10.9135	11.3623	12.1769	11.9855	12.0965	10.7665	9.7598	11.4475	10.7543	11.9634	11.7307	10.9533	11.2391	10.8078	11.5206	11.2383	11.5103	10.3253	10.23	11.7889	10.622	10.792	11.3074	10.9669	12.1858	12.0423	10.2043	11.5511	11.5046	11.5434	12.0025	11.5532	11.1484	10.7552	10.7385	12.4111	11.7299	11.1306	11.7327	10.9427	12.6544	11.6418	11.2755	11.6066	11.2053	11.2269	9.9034	11.8362	11.8183	10.4102	10.6599	10.3291	11.7214	10.6477	10.2405	11.7671	11.2725	12.5761	11.393	11.1702	11.8092	11.9676	12.8485	10.1594	11.5189	10.2487	10.1464	9.5231	11.1336	10.8967	11.1262	9.9462	10.9887	12.376	12.2885	11.4772	10.8918	11.1444	10.8577	9.8826	12.2551	10.6032	11.4088	12.1018	12.0426	12.4127	11.8995	10.9289	10.9124	11.9746	12.1109	10.3718	11.6031	10.3445
hsa-let-7d	8.7264	9.1584	9.0812	8.7379	8.3291	8.2572	8.4479	8.7275	9.509	8.981	8.6751	8.5071	8.8726	8.666	8.368	8.6896	7.8825	8.761	8.2314	8.5679	8.0234	8.1355	9.8737	8.3071	8.3879	8.729	8.1461	9.1161	8.4721	8.2823	8.931	9.2454	8.9762	9.2166	9.7952	8.6577	9.7024	9.0585	9.3524	8.1379	8.447	8.5548	9.6251	8.0725	8.4628	7.9347	8.8009	8.8369	8.557	9.3332	8.7151	8.7018	9.43	8.3206	8.1239	8.313	9.0256	8.2189	8.1394	8.8901	8.2498	9.0886	8.6807	8.7437	9.0194	7.8022	8.626	8.0574	8.8225	8.5749	9.1449	9.0863	8.5245	9.2137	9.4409	9.0693	8.7041	8.6754	9.382	8.7682	8.5145	8.3902	9.0595	8.239	8.8238	9.0462	8.4508	8.2062	8.3072	8.4094	8.9025	8.6802	8.5852	7.9121	9.5424	8.8961	8.5685	8.769	9.0073	8.9771	9.0113	8.8807	8.5821	8.4669	8.6079	8.5716	8.6058	8.7155	8.9431	8.3305	8.0641	8.8327	8.3196	8.652	9.1197	8.1584	9.0781	9.1463	8.3666	8.8317	7.9299	8.1857	9.6935	8.6534	8.3446	8.7811	9.484	8.8622	9.1756	8.0524	8.8741	8.6118	9.4207	8.7722	8.1593	9.4051	8.4758	8.9808	8.5353	8.2417	8.0634	8.5706	8.7246	8.7128	8.8239	8.4514	8.5852	9.5809	8.6261	8.8059	8.0759	9.1468	8.9754	9.1239	9.2505	8.2448	8.6739	8.5615	7.9065	8.5444	8.555	8.9215	8.7104	9.774	8.6744	9.0368	8.6847	8.3587	8.8583	7.6482	8.5562	8.584	8.9147	8.3735	8.5032	8.8803	8.831	9.4874
hsa-let-7e	9.491	10.0321	10.6815	9.173	9.1266	8.4487	9.7056	10.202	9.229	9.6839	9.184	9.2788	10.2497	9.377	9.5182	9.7127	8.2753	10.6612	9.7944	10.3874	10.2515	9.8484	11.1238	10.6092	10.1039	10.2673	9.7428	10.4929	10.068	12.5916	11.482	11.0753	11.7924	10.2451	12.2476	11.1016	10.005	9.2687	9.8266	9.2384	10.1152	10.7323	11.0805	8.4936	10.1866	10.8671	8.8262	8.983	10.5598	11.2524	10.0134	9.9042	9.8225	11.4834	10.4363	10.6302	7.7957	8.7571	10.4238	9.1617	9.0674	8.9953	9.5238	8.8615	9.4175	8.7459	8.5687	10.9403	9.8067	11.4519	9.6397	8.5591	9.7782	9.9929	10.5166	11.0666	9.0644	10.6832	9.1819	9.7173	10.7016	10.6799	11.1042	10.8312	10.3246	9.7417	10.839	10.6487	10.577	9.6053	9.9027	10.1278	9.9221	10.2571	10.6834	9.6557	9.7713	8.9146	9.5017	9.4915	9.6986	8.8831	12.2963	11.6337	10.7532	10.1474	9.9869	9.7389	10.2325	9.8016	9.3737	9.9737	9.8457	10.0361	10.1412	10.4979	10.2314	10.2742	10.6495	10.339	9.2203	10.1158	10.7078	10.8841	10.7656	9.2723	11.2239	11.1202	10.8737	10.8493	11.7215	11.3279	12.488	11.6105	11.7949	10.9919	10.1621	9.9574	9.9867	10.29	9.1946	10.8624	10.564	10.1671	9.6527	10.654	11.3414	12.0053	11.5639	11.0417	8.9806	8.9879	10.9773	10.5949	11.2023	10.0442	10.9723	11.3755	10.972	10.211	10.4039	10.7042	10.9117	9.1389	11.5484	10.4791	10.7795	11.2888	9.6017	10.0799	10.2964	10.2472	10.7108	10.7197	11.684	11.2768	11.4896	9.4459
hsa-let-7f-1	4.1691	5.1329	3.7774	4.3278	3.7819	2.6295	3.4165	4.492	4.6091	4.4633	3.9676	3.9181	3.5795	3.6489	3.0419	4.3817	3.3784	4.7724	4.2113	4.5687	4.5264	4.5464	5.9165	4.324	4.4	4.6766	3.8943	4.9501	4.702	4.203	4.9489	5.0104	5.0945	4.9383	5.9566	4.6647	4.5961	3.819	4.3856	3.0243	4.8579	4.5036	4.9279	2.8082	4.1817	4.3325	4.1369	3.7479	4.4647	4.9254	4.6102	4.6105	3.859	5.3897	5.5542	4.3828	3.5121	3.8599	4.4809	3.7642	4.1428	4.4626	4.0806	3.762	3.8443	4.7811	3.1846	3.5971	4.0004	5.4404	4.5331	4.5114	4.4471	3.816	5.3175	5.6852	3.7569	5.029	4.2818	3.6762	4.7155	4.506	3.7124	4.2845	4.0448	3.6676	4.2995	3.6988	4.1447	3.9326	3.6821	4.0486	3.3485	3.4526	4.0257	4.0705	3.6365	4.4301	4.1109	5.4762	4.4852	4.5256	5.3018	4.9883	4.769	4.5739	5.0151	3.8189	3.8666	4.184	4.3951	3.8214	4.3538	4.0262	4.1362	4.1329	3.574	3.5425	4.4607	4.3003	4.1824	3.6345	4.0753	3.8142	4.2772	3.5083	4.4129	5.0382	4.8725	4.6017	5.511	5.4643	6.052	5.0777	4.6853	4.808	4.9888	4.9448	4.9579	4.6535	3.4639	5.2477	4.9992	4.5969	5.1423	4.5632	5.5023	5.2961	5.1539	4.3598	3.9229	3.5178	5.0499	5.539	5.231	3.9635	4.5777	5.2997	4.8971	5.3164	5.0785	4.6322	4.8529	4.5817	5.7721	4.159	5.609	5.7148	3.7161	4.2489	4.1532	3.9405	4.4618	4.7502	5.3521	5.4633	5.4716	4.6385
hsa-let-7f-2	12.326	12.7465	11.9006	12.1668	11.6527	11.1699	11.9701	12.5821	12.3463	12.8229	12.1033	12.1948	12.164	12.0513	11.5832	12.5823	11.4899	13.3955	12.8685	12.643	13.1327	12.7496	14.0244	13.1234	13.0729	13.0984	12.3302	12.897	12.2587	12.8261	13.683	13.412	13.5676	12.7701	13.8009	13.4468	12.83	11.9134	12.1035	11.2574	12.6145	13.3796	13.1189	11.3663	12.5314	13.6015	11.2294	11.2287	13.0233	13.3539	12.5243	12.4811	11.8655	14.2314	14.4152	13.0247	12.2474	11.6375	12.9197	12.1602	11.8479	12.6078	12.0171	11.5747	12.0798	11.7006	11.9223	12.5225	12.1737	13.9764	12.0447	11.5971	12.4423	11.598	13.3692	15.1576	11.2395	13.0509	12.7774	11.9837	12.9716	13.1837	12.1371	13.1612	12.8843	11.9929	12.9282	12.9037	12.9165	12.0004	11.9947	12.4794	11.8562	12.5372	12.5619	12.6681	11.946	11.5947	11.8257	12.2093	12.1071	11.6426	14.3366	13.8593	13.0397	13.1516	13.746	11.806	12.6413	12.0363	12.8021	12.6082	12.349	12.6979	12.739	13.046	12.3799	12.3584	13.1224	12.6566	11.9266	12.7285	12.593	12.5897	12.691	11.726	12.9433	13.7449	13.4854	13.2609	14.0048	14.2339	14.6851	13.9712	13.9303	13.9125	13.454	12.9454	13.4131	13.216	11.7782	13.9516	13.3045	12.9653	12.8198	12.9155	14.1298	14.141	14.0621	13.4389	12.1823	11.195	13.3572	13.0263	13.7288	12.2473	13.2684	13.5488	13.5065	14.0095	13.4501	13.445	13.3002	13.5378	14.4502	12.8615	14.5392	14.3611	11.7922	12.5869	12.6361	12.837	13.1504	13.4374	14.4637	13.1925	14.0315	12.4392
hsa-let-7g	8.8292	9.0076	9.1425	8.6057	8.2025	7.4787	8.1812	9.2679	9.1386	8.6227	8.745	8.1366	8.3681	8.8527	7.9877	8.618	8.8876	9.4806	8.8946	9.1271	8.7422	8.8903	9.1688	8.5805	9.5079	9.4682	8.389	9.1285	8.6476	9.6129	10.0912	9.8031	9.174	9.4001	10.8248	9.2303	9.0716	9.3015	9.0828	7.9905	9.1645	9.1338	9.1743	8.3292	8.3282	8.78	8.8236	9.0727	9.2561	9.6127	9.0589	8.7337	8.7691	9.9674	10.2985	8.8167	8.872	8.0024	8.7904	8.9403	8.4374	8.6333	8.85	9.0242	9.119	8.2837	8.3077	8.525	8.3422	9.6461	9.0615	8.5634	8.5393	8.7396	9.7721	11.2663	8.0532	8.5137	9.2176	8.4832	8.9077	9.1013	8.0844	8.8411	9.1364	7.8575	8.8506	8.6334	8.6039	9.0471	7.9664	8.5903	8.7443	8.3441	8.8175	8.9128	8.537	8.1485	8.9965	8.3839	8.9009	8.8108	10.017	9.5361	9.1074	9.1087	9.288	8.4054	9.0168	8.2223	8.08	9.0568	8.4604	8.7392	8.9024	8.8678	8.8497	8.2517	8.243	8.8721	8.0731	8.1667	8.7329	8.3675	8.5754	8.4753	8.384	9.1559	9.7732	8.8826	9.6622	10.0871	10.3612	9.9778	9.32	10.0652	9.6333	9.4196	8.9713	9.3243	7.6229	9.9908	9.3268	9.6831	9.2893	8.9835	9.7015	9.4455	10.0265	9.5931	9.249	8.9397	9.697	9.3741	10.4595	8.9863	9.2634	9.3453	8.7696	9.8751	9.4699	9.348	9.0598	9.9346	10.1984	9.0714	10.7484	10.0821	8.4165	8.6013	8.5631	9.188	9.5624	9.2014	9.8504	8.8859	9.7112	10.5806
