BioGRID Interaction ID,Entrez Gene Interactor A,Entrez Gene Interactor B,BioGRID ID Interactor A,BioGRID ID Interactor B,Systematic Name Interactor A,Systematic Name Interactor B,Official Symbol Interactor A,Official Symbol Interactor B,Synonyms Interactor A,Synonyms Interactor B,Experimental System,Experimental System Type,Author,Pubmed ID,Organism Interactor A,Organism Interactor B,Throughput,Score,Modification,Phenotypes,Qualifications,Tags,Source Database
796036,8358,8353,113954,113949,-,RP1-34B20.8,HIST1H3B,HIST1H3E,H3/l|H3FL,H3.1|H3/d|H3FD,Affinity Capture-MS,physical,Foltz DR (2006),16622419,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID
2254727,8350,8968,113946,114458,-,-,HIST1H3A,HIST1H3F,H3/A|H3FA,H3/i|H3FI,Affinity Capture-MS,physical,Huttlin EL (2017),28514442,9606,9606,High Throughput,0.932287735,-,-,"BioPlex 2.0 HEK 293T cells CompPASS score = 0.932287735, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 3.0 (PMID: 33961781) and may be re-scored from BioPlex 1.0 (PMID: 26186194). Only scores from within BioPlex 2.0 (PMID: 28514442) should be compared directly.",-,BIOGRID
2990254,8350,9585,113946,114953,-,-,HIST1H3A,KIF20B,H3/A|H3FA,CT90|KRMP1|MPHOSPH1|MPP-1|MPP1,Proximity Label-MS,physical,Go CD (2021),34079125,9606,9606,High Throughput,64.0,-,-,BioID|SAINTexpress (v.3.6.1) was used to identify proximity interactions and those with a Bayesian FDR =< 0.01 were considered high confidence. The score represents the fold change of the average spectral count in sample replicates relative to the average in control replicates.,-,BIOGRID
3092126,8354,8968,113950,114458,RP1-193B12.1,-,HIST1H3I,HIST1H3F,H3.f|H3/f|H3FF,H3/i|H3FI,Affinity Capture-MS,physical,Huttlin EL (2021),33961781,9606,9606,High Throughput,0.890770209,-,-,"BioPlex 3.0 HEK 293T cells CompPASS score = 0.890770209, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HEK293T.|This data may be re-scored from BioPlex 1.0 (PMID: 26186194) and BioPlex 2.0 (PMID: 28514442). Only scores from within the same cell line in BioPlex 3.0 (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).",-,BIOGRID
3517638,8352,9585,113948,114953,-,-,HIST1H3C,KIF20B,H3.1|H3/c|H3FC,CT90|KRMP1|MPHOSPH1|MPP-1|MPP1,Proximity Label-MS,physical,Siddaway R (2022),36089195,9606,9606,High Throughput,-,-,-,BioID|FDR less than or equal to 1%,-,BIOGRID
3517664,8352,84181,113948,123931,-,RP4-620E11.2,HIST1H3C,CHD6,H3.1|H3/c|H3FC,CHD-6|CHD5|RIGB,Proximity Label-MS,physical,Siddaway R (2022),36089195,9606,9606,High Throughput,-,-,-,BioID|FDR less than or equal to 1%,-,BIOGRID
3547504,3075,196074,109324,128190,RP1-177P10.1,-,CFH,METTL15,AHUS1|AMBP1|ARMD4|ARMS1|CFHL3|FH|FHL1|HF|HF1|HF2|HUS,METT5D1,Affinity Capture-MS,physical,Merle DA (2021),34943047,9606,9606,High Throughput,-,-,-,-,-,BIOGRID
2551272,8359,554313,113955,299853,-,-,HIST1H4A,HIST2H4B,H4FA,H4/o,Affinity Capture-MS,physical,Gilmore JM (2016),27248496,9606,9606,High Throughput,-,-,-,-,-,BIOGRID
2631841,8359,90381,113955,124706,-,-,HIST1H4A,TICRR,H4FA,C15orf42|SLD3|Treslin,Affinity Capture-MS,physical,Nakamura K (2019),30804502,9606,9606,High Throughput,-,-,-,assayed using SILAC IP (stable isotope labeling by amino acids in cell culture-based quantitative immunoprecipitation),-,BIOGRID
3035000,8359,8969,113955,114459,-,-,HIST1H4A,HIST1H2AG,H4FA,H2A.1b|H2A/p|H2AFP|H2AG|pH2A/f,Affinity Capture-MS,physical,Huttlin EL (2021),33961781,9606,9606,High Throughput,0.833772448,-,-,"BioPlex 3.0 HEK 293T cells CompPASS score = 0.833772448, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HEK293T.|This data may be re-scored from BioPlex 1.0 (PMID: 26186194) and BioPlex 2.0 (PMID: 28514442). Only scores from within the same cell line in BioPlex 3.0 (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).",-,BIOGRID
